,_index,_type,_id,_score,sort,sku,name,nameSanitized,namePrefix,nameSuffix,unitSize,volume,regularPrice,isLimitedTimeOffer,currentPrice,promotionStartDate,promotionEndDate,category,subCategory,style,class,color,grapeType,upc,countryCode,countryName,region,subRegion,alcoholPercentage,tastingDescription,sweetness,image,availableUnits,consumerRating,votes,isBCVQA,isOntarioVQA,isVQA,isDealcoholizedWine,isOrganic,isKosher,isNew,isExclusive,isCraft,isBCCraft,isBCSpirit,isDraft,featured,all_featured,certificates,redVarietal,whiteVarietal,productType,productCategory,productSubCategory,storeCount,promotions,all_promotions,_isLimitedTimeOffer,_featured,_all_featured,_blacklist,_whitelist,last_updated,restrictionCode,statusCode,inventoryCode,status,_promotionStartDate,_promotionEndDate,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
0,bcls,product,772335,0.2533555,33 ACRES OF LIFE LAGER,772335,33 ACRES OF LIFE LAGER,33 acres of life lager,,33 ACRES OF LIFE LAGER,6,0.33,14.29,,14.29,,,Beer,Domestic - BC Beer,California Common Or Steam,Domestic - BC Micro Brew Beer,,,['00626990216308'],CA,Canada,,,0.048,"Easy on the alcohol content and weighing in on taste for a complete balance. Utilizing Northern Brewer hops lends a hint of evergreen traditional to style. A fruit-like quality is created by fermenting the lager at ale temperatures. Gaining a complex taste through subtle approach; hints at a full-bodied ale yet retains a crisp finish. Aroma: Faint fruit, toasted malt, caramel. Flavour: Sharp carbonation bite, pronounced hop character, light caramel aftertaste. Relatively clean finish.
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/772335.jpeg,245,3.4,147,,,,,False,False,False,False,True,True,,False,[],[],[],,,,Domestic Beer,BC Craft Beer,40.0,,,,[],[],False,False,2023-08-02 09:10:01,SR,2,0,2,,,1000,1006,1133,485.1,3501.0499999999997,0.09504,150.3577441077441,0.20408163265306123
1,bcls,product,474748,0.2533555,33 ACRES OF NIRVANA CAN,474748,33 ACRES OF NIRVANA CAN,33 acres of nirvana can,,33 ACRES OF NIRVANA CAN,6,0.355,15.29,True,14.29,2023-07-30T00:00:00.000-07:00,2023-09-02T00:00:00.000-07:00,Beer,Domestic - BC Beer,India Pale Ale,Domestic - BC Micro Brew Beer,,,['00696852001250'],CA,Canada,,,0.07,"33 Acres is one of Vancouver's most well-loved craft beer brewers. This West Coast Indian Pale Ale beautifully balances bitter-fresh pine notes with grapefruit rind and candied orange citrus. Try it with fried chicken for a true taste of nirvana.
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/474748.jpeg,322,3.4,21,,,,,False,False,False,False,False,True,,False,[],['On Sale'],[],,,,Domestic Beer,BC Craft Beer,46.0,,,True,[],['On Sale'],False,False,2023-08-02 09:10:01,SR,2,0,2,2023-07-30T00:00:00.000-07:00,2023-09-02T00:00:00.000-07:00,1000,1006,1133,685.86,4923.38,0.1491,102.54862508383634,0.23469387755102042
2,bcls,product,837591,0.25458387,33 ACRES OF OCEAN PALE ALE,837591,33 ACRES OF OCEAN PALE ALE,33 acres of ocean pale ale,,33 ACRES OF OCEAN PALE ALE,6,0.33,14.29,,14.29,,,Beer,Domestic - BC Beer,Pale Ale,Domestic - BC Micro Brew Beer,,,['00626990216346'],CA,Canada,,,0.055999999999999994,"This is a full flavoured beer integrated with a distinct floral hop which gives it a quality unique to our Pacific Northwest surroundings. This style is evolutionary from a typical IPA with an assertive hop, lower alcohol content, and slight pine aroma. Low in malt character, this beer has a refined quality and a refreshing temperament. Aroma: Fruit, floral hop aroma, predominantly citrus and a little pine. Flavour: Light caramel, strong hop flavour.
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/837591.jpeg,862,3.5,127,,,,,False,False,False,False,True,True,,False,[],[],[],,,,Domestic Beer,BC Craft Beer,72.0,,,,[],[],False,False,2023-08-02 09:10:01,SR,2,0,2,,,1000,1006,1133,1706.76,12317.98,0.11087999999999999,128.8780663780664,0.3673469387755102
3,bcls,product,90837,0.25458387,33 ACRES OF SUNSHINE BLANCHE,90837,33 ACRES OF SUNSHINE BLANCHE,33 acres of sunshine blanche,,33 ACRES OF SUNSHINE BLANCHE,6,0.33,14.29,,14.29,,,Beer,Domestic - BC Beer,Wheat,Domestic - BC Micro Brew Beer,,,['00626990216353'],CA,Canada,,,0.05,"Born of the sun this unfiltered wheat ale has long been praised by the Belgians and revered by the French. This dreamy Blanchè beer is silky smooth and subspiced with orange peel, coriander and anise seed to pair perfectly with the golden days of summer. Aroma: Fruity, orange peel, coriander, black liquorice. Flavour: Fruity, orange peel, coriander, black liquorice, sweet aftertaste.
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/90837.jpeg,924,3.7,155,,,,,False,False,False,False,True,True,,False,[],[],[],,,,Domestic Beer,BC Craft Beer,70.0,,,,[],[],False,False,2023-08-02 09:10:01,SR,2,0,2,,,1000,1006,1133,1829.52,13203.96,0.099,144.34343434343432,0.35714285714285715
4,bcls,product,23859,0.25458387,33 ACRES OF SUNSHINE CAN,23859,33 ACRES OF SUNSHINE CAN,33 acres of sunshine can,,33 ACRES OF SUNSHINE CAN,12,0.355,24.99,,24.99,,,Beer,Domestic - BC Beer,Wheat,Domestic - BC Micro Brew Beer,,,['00626990372486'],CA,Canada,,,0.05,"Born of the sun this unfiltered wheat ale has long been praised by the Belgians and revered by the French. This dreamy Blanchè beer is silky smooth and subspiced with orange peel, coriander and anise seed to pair perfectly with the golden days of summer. Aroma: Fruity, orange peel, coriander, black liquorice. Flavour: Fruity, orange peel, coriander, black liquorice, sweet aftertaste.
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/23859.jpeg,821,3.9,90,,,,,False,False,False,True,True,True,,False,[],['BCL Select'],[],,,,Domestic Beer,BC Craft Beer,74.0,,,,[],['BCL Select'],False,False,2023-08-02 09:10:01,C,2,0,2,,,1000,1006,1133,3497.46,20516.789999999997,0.213,117.32394366197182,0.37755102040816324
5,bcls,product,418729,0.2533555,33 BREWING EXP. - 33B.EXP.005.MKII MEZCAL GOSE CAN,418729,33 BREWING EXP. - 33B.EXP.005.MKII MEZCAL GOSE CAN,33 brewing exp. - 33b.exp.005.mkii mezcal gose can,33 BREWING EXP. , 33B.EXP.005.MKII MEZCAL GOSE CAN,6,0.355,13.99,,13.99,,,Beer,Domestic - BC Beer,Sour,Domestic - BC Micro Brew Beer,,,['00626990456872'],CA,Canada,,,0.05,"A bracingly sour, bright, gose with Vancouver Island sea salt, fresh lime zest and juice. Conditioned on Mezcal oak to suggest warm, Oaxacan beaches and salt-rimmed cocktail glasses with tiny umbrellas.",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/418729.jpeg,1115,3.5,19,,,,,False,False,False,False,False,True,,False,[],[],[],,,,Domestic Beer,BC Craft Beer,81.0,,,,[],[],False,False,2023-08-02 09:10:01,SR,2,0,2,,,1000,1006,1133,2374.95,15598.85,0.1065,131.36150234741785,0.413265306122449
6,bcls,product,588681,0.2533555,ALEXANDER KEITH'S - INDIA PALE ALE CAN,588681,ALEXANDER KEITH'S - INDIA PALE ALE CAN,alexander keiths - india pale ale can,ALEXANDER KEITH'S , INDIA PALE ALE CAN,15,0.355,30.79,,30.79,,,Beer,Domestic - Other Province Beer,India Pale Ale,Domestic - Other Province Commercial Beer,,,['00062067121371'],CA,Canada,,,0.05,"Brewed without compromise, taste Alexander Keith's heritage in this crisp golden ale with distinct drinkability. Subtle spice and herb notes from the hops and yeast come together over a light cereal grain foundation to provide a fresh easy drinking ale. The original Nova Scotia Ale and the oldest continuously brewed beer in North America: ""Those who like it...""
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/588681.jpeg,2619,1.9,800,,,,,False,False,False,False,False,False,,False,[],[],[],,,,Domestic Beer,National Domestic Beer,164.0,,,,[],[],False,False,2023-08-02 09:10:01,G,2,0,2,,,1000,1290,1138,13946.174999999997,80639.01,0.26625,115.64319248826291,0.8367346938775511
7,bcls,product,687251,0.2533555,ALEXANDER KEITH'S - INDIA PALE ALE CAN,687251,ALEXANDER KEITH'S - INDIA PALE ALE CAN,alexander keiths - india pale ale can,ALEXANDER KEITH'S , INDIA PALE ALE CAN,8,0.355,15.99,,15.99,,,Beer,Domestic - Other Province Beer,India Pale Ale,Domestic - Other Province Commercial Beer,,,['00062067121456'],CA,Canada,,,0.05,"Brewed without compromise, taste Alexander Keith's heritage in this crisp golden ale with distinct drinkability. Subtle spice and herb notes from the hops and yeast come together over a light cereal grain foundation to provide a fresh easy drinking ale. The original Nova Scotia Ale and the oldest continuously brewed beer in North America: ""Those who like it...""
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/687251.jpeg,904,2.5,73,,,,,False,False,False,False,False,False,,False,[],[],[],,,,Domestic Beer,National Domestic Beer,79.0,,,,[],[],False,False,2023-08-02 09:10:01,SR,2,0,2,,,1000,1290,1138,2567.3599999999997,14454.960000000001,0.142,112.60563380281691,0.4030612244897959
8,bcls,product,638759,0.25458387,ALHAMBRA RESERVA 1925,638759,ALHAMBRA RESERVA 1925,alhambra reserva 1925,,ALHAMBRA RESERVA 1925,6,0.33,15.79,,15.79,,,Beer,Import Beer,Pilsner,Europe Beer,,,"['00000084195326', '08413681021820']",ES,Spain,,,0.064,"An intense, full-bodied pilsner that is a reinterpretation of the Bohemian-style pilsner. Smell: Its intense aroma combines soft fruity notes with subtle hints of cereal, and light floral and spice overtones that are typical of Saaz hops. Taste: Cereal and hop flavours are perfectly balanced with a medium bitterness counterpoint.
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/638759.jpeg,532,4.0,185,,,,,False,False,False,False,False,False,,False,[],[],[],,,,Import Beer,,59.0,,,,[],[],False,False,2023-08-02 09:10:01,SR,2,0,2,,,1000,1007,1188,1053.36,8400.279999999999,0.12672,124.60542929292929,0.3010204081632653
9,bcls,product,439950,0.2533555,ASAHI SUPER DRY,439950,ASAHI SUPER DRY,asahi super dry,,ASAHI SUPER DRY,6,0.33,16.29,True,15.29,2023-07-30T00:00:00.000-07:00,2023-09-02T00:00:00.000-07:00,Beer,Import Beer,Pilsner,Other Country Beer,,,"['08855366005600', '05060006410093', '08008440249104', '08855366007604', '00038766363343', '08008440549204']",JP,Japan,,,0.052000000000000005,"When Asahi Super Dry was first created in 1987, it redefined the beer category and introduced the world to a new taste in beer. Today, Asahi Super Dry is Japan's number one beer. Inspired by dry sake, Asahi invented the world's first super dry beer. Dry and crisp with a quick, clean finish, it leaves you refreshed and ready for the next sip, next bite of food, or next discovery.
",,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/439950.jpeg,1835,3.6,204,,,,,False,False,False,False,False,False,,False,[],['On Sale'],[],,,,Import Beer,,108.0,,,True,[],['On Sale'],False,False,2023-08-02 09:10:01,SR,2,0,2,2023-07-30T00:00:00.000-07:00,2023-09-02T00:00:00.000-07:00,1000,1007,1193,3633.3,29892.149999999998,0.10296000000000001,158.2167832167832,0.5510204081632653
